,Age,Birthday,Favorite books or authors,Favorite noveling music,Hobbies,Location,Occupation,Primary Role,Sponsorship URL
0,24,December 20,"Ursula Le Guin, J.K.","Classical, Musicals","Reading, Video Games, Blogging, Learning","San Francisco, CA",Consultant,,
0,,,"2666, Unaccustomed Earth, Exit Music, Crazy Love, The Halfway House, Denis Johnson, Juan Carlos Onetti, Junot Diaz, Alberto Fuguet, Roberto Bolano, William Faulkner, Kate Atkinson, Jhumpa Lahiri, Ian Rankin, Henning Mankell, Alice Munro, David Long, Rabih Alameddine, Alejandro Zambra, Alan Hollinghurst, Stewart O'Nan, Jorge Luis Borges, Posession, Peter Orner, Elena Ferrante, Granta literary","Belle and Sebastian, Elliott Smith, PJ Harvey, Ana Tijoux, Orphans & Vandals, Sleater-Kinney, The Clash, Pinetop Seven, Typhoon, Mary Lou Lord and accordion-heavy tango music.","Reading, volunteering, knitting, listening to music, walking, going to shows, cooking.",San Francisco,Writer/Office Monkey,Municipal Liaison,
0,,April 2,"Colleen Hoover, Veronica Roth, Jennifer Niven, Stephenie",Tori Kelley,"Reading (DUH), Day dreaming, Going to Disneyland, Drinking Starbucks... You know. The usual","Sacramento, CA",Optometry Assistant,,
0,,,,"Three Goddesses playlist Florence + the Machine (MTV Unplugged), The Theory of Everything soundtrack, Marcus Warner (Liberation)","drawing, reading, movies & TV shows, comics, photography",New York City,,Municipal Liaison,https://www.classy.org/fundraise?fcid=498118
0,,,"Lolita, Jesus' Son, Ask the",the sound of the coffeemaker,cryptozoology,Allston,Bookstore Employee,,
0,,,,Miles Davis and the sort,"Photography, Writing, Yoga",San Francisco,,,
0,,,"Jhumpa Lahiri, Amy Hempel, Anais Nin, CE Poverman, Italo Calvino, J.D Salinger, A Moveable Feast, The Elegance of the Hedgehog, If on a Winter's Night a Traveler, The God of Small Things, The Blindfold, The Paris","Charlie Parker, Bill Evans, Miles Davis","writing, cooking, improv, running, yoga",San Francisco,Leadership & Development,,
0,19,,,not sure yet,"drawing, painting, spoken word poetry, video games, cooking",Bay Area - California,,,
0,,,"Radclyffe, John Scalzi, Q. Kelly, Louis",movie scores,"filmmaking, acting, reading, writing, biking",San Francisco,Office Manager,,
0,,,"Isaac Asimov, Diane","Amanda Marshall, Great Big Sea, Dido",,Southern Ontario,,Municipal Liaison,
