,Consecutive Donor,Consecutive Wins,Consecutive Part,Part Years,Win Years,Donor Years
0,1,1,2,"[2014, 2015]",[2014],[2014]
1,9,9,11,"[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015]","[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2014, 2015]","[2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015]"
2,1,0,1,[2015],[],[2015]
3,8,8,12,"[2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015]","[2004, 2005, 2008, 2011, 2012, 2013, 2014, 2015]","[2007, 2008, 2009, 2011, 2012, 2013, 2014, 2015]"
4,0,0,3,"[2012, 2014, 2015]",[],[]
5,0,0,4,"[2012, 2013, 2014, 2015]",[],[]
6,1,1,1,[2015],[2015],[2015]
7,0,0,1,[2015],[],[]
8,0,0,2,"[2012, 2015]",[],[]
9,5,5,5,"[2011, 2012, 2013, 2014, 2015]","[2011, 2012, 2013, 2014, 2015]","[2011, 2012, 2013, 2014, 2015]"
10,0,0,2,"[2014, 2015]",[],[]
11,6,6,6,"[2010, 2011, 2012, 2013, 2014, 2015]","[2010, 2011, 2012, 2013, 2014, 2015]","[2010, 2011, 2012, 2013, 2014, 2015]"
12,0,0,1,[2015],[],[]
13,1,3,3,"[2010, 2013, 2015]","[2010, 2013, 2015]",[2013]
14,0,1,1,[2015],[2015],[]
15,1,6,8,"[2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015]","[2008, 2009, 2010, 2011, 2013, 2014]",[2010]
16,5,2,5,"[2011, 2012, 2013, 2014, 2015]","[2011, 2012]","[2011, 2012, 2013, 2014, 2015]"
17,0,7,7,"[2009, 2010, 2011, 2012, 2013, 2014, 2015]","[2009, 2010, 2011, 2012, 2013, 2014, 2015]",[]
18,1,0,12,"[2001, 2003, 2004, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015]",[],[2015]
19,0,0,2,"[2014, 2015]",[],[]
20,2,2,5,"[2004, 2011, 2013, 2014, 2015]","[2013, 2014]","[2013, 2014]"
21,0,3,4,"[2012, 2013, 2014, 2015]","[2012, 2013, 2015]",[]
22,0,1,4,"[2009, 2013, 2014, 2015]",[2013],[]
23,3,3,6,"[2009, 2010, 2011, 2012, 2013, 2015]","[2009, 2010, 2012]","[2009, 2011, 2012]"
24,4,6,7,"[2009, 2010, 2011, 2012, 2013, 2014, 2015]","[2009, 2010, 2011, 2012, 2013, 2014]","[2009, 2010, 2012, 2014]"
25,0,0,1,[2015],[],[]
26,5,6,9,"[2004, 2007, 2009, 2010, 2011, 2012, 2013, 2014, 2015]","[2009, 2011, 2012, 2013, 2014, 2015]","[2009, 2011, 2013, 2014, 2015]"
27,7,7,7,"[2009, 2010, 2011, 2012, 2013, 2014, 2015]","[2009, 2010, 2011, 2012, 2013, 2014, 2015]","[2009, 2010, 2011, 2012, 2013, 2014, 2015]"
28,12,8,20,"[2011, 2012, 2013, 2014, 2015, 2011, 2012, 2013, 2014, 2015, 2011, 2012, 2013, 2014, 2015, 2011, 2012, 2013, 2014, 2015]","[2012, 2013, 2012, 2013, 2012, 2013, 2012, 2013]","[2012, 2013, 2014, 2012, 2013, 2014, 2012, 2013, 2014, 2012, 2013, 2014]"
29,1,0,1,[2015],[],[2015]
30,0,0,1,[2015],[],[]
31,0,1,1,[2015],[2015],[]
32,1,3,3,"[2013, 2014, 2015]","[2013, 2014, 2015]",[2013]
33,1,1,1,[2015],[2015],[2015]
34,0,0,1,[2015],[],[]
35,3,4,5,"[2011, 2012, 2013, 2014, 2015]","[2011, 2013, 2014, 2015]","[2011, 2013, 2014]"
36,0,0,1,[2015],[],[]
37,2,1,3,"[2013, 2014, 2015]",[2014],"[2013, 2014]"
38,0,4,4,"[2012, 2013, 2014, 2015]","[2012, 2013, 2014, 2015]",[]
39,1,0,2,"[2014, 2015]",[],[2014]
40,0,0,1,[2015],[],[]
41,0,0,2,"[2014, 2015]",[],[]
42,4,7,12,"[2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015]","[2008, 2009, 2010, 2011, 2012, 2014, 2015]","[2007, 2013, 2014, 2015]"
43,1,1,1,[2015],[2015],[2015]
44,0,1,2,"[2014, 2015]",[2014],[]
45,4,4,4,"[2012, 2013, 2014, 2015]","[2012, 2013, 2014, 2015]","[2012, 2013, 2014, 2015]"
46,1,1,4,"[2011, 2012, 2014, 2015]",[2015],[2011]
47,1,4,5,"[2011, 2012, 2013, 2014, 2015]","[2011, 2013, 2014, 2015]",[2015]
48,0,6,10,"[2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015]","[2006, 2007, 2008, 2009, 2010, 2012]",[]
49,0,2,10,"[2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015]","[2012, 2015]",[]
50,0,0,2,"[2012, 2015]",[],[]
51,1,1,3,"[2011, 2012, 2015]",[2012],[2012]
52,0,0,1,[2015],[],[]
53,2,4,6,"[2010, 2011, 2012, 2013, 2014, 2015]","[2010, 2011, 2013, 2014]","[2011, 2013]"
54,5,5,5,"[2011, 2012, 2013, 2014, 2015]","[2011, 2012, 2013, 2014, 2015]","[2011, 2012, 2013, 2014, 2015]"
55,0,0,1,[2015],[],[]
56,2,2,2,"[2014, 2015]","[2014, 2015]","[2014, 2015]"
57,0,3,6,"[2010, 2011, 2012, 2013, 2014, 2015]","[2011, 2012, 2014]",[]
58,0,0,3,"[2012, 2013, 2015]",[],[]
59,1,3,3,"[2013, 2014, 2015]","[2013, 2014, 2015]",[2013]
60,0,1,2,"[2011, 2015]",[2015],[]
61,0,1,1,[2015],[2015],[]
62,1,1,3,"[2012, 2014, 2015]",[2015],[2015]
63,0,0,2,"[2014, 2015]",[],[]
64,0,1,3,"[2013, 2014, 2015]",[2013],[]
65,0,0,1,[2015],[],[]
66,0,0,3,"[2000, 2014, 2015]",[],[]
67,4,4,5,"[2011, 2012, 2013, 2014, 2015]","[2012, 2013, 2014, 2015]","[2011, 2013, 2014, 2015]"
68,4,6,6,"[2010, 2011, 2012, 2013, 2014, 2015]","[2010, 2011, 2012, 2013, 2014, 2015]","[2010, 2012, 2013, 2014]"
69,0,1,1,[2015],[2015],[]
70,4,5,13,"[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015]","[2011, 2012, 2013, 2014, 2015]","[2006, 2007, 2008, 2009]"
71,3,1,5,"[2007, 2008, 2009, 2014, 2015]",[2007],"[2009, 2014, 2015]"
72,5,4,5,"[2011, 2012, 2013, 2014, 2015]","[2012, 2013, 2014, 2015]","[2011, 2012, 2013, 2014, 2015]"
73,0,0,2,"[2013, 2015]",[],[]
74,0,0,2,"[2011, 2015]",[],[]
75,0,0,1,[2015],[],[]
76,0,0,2,"[2014, 2015]",[],[]
77,0,0,1,[2015],[],[]
78,0,1,2,"[2014, 2015]",[2014],[]
79,2,2,2,"[2014, 2015]","[2014, 2015]","[2014, 2015]"
80,3,3,5,"[2010, 2011, 2012, 2013, 2015]","[2010, 2011, 2012]","[2010, 2011, 2012]"
81,1,5,5,"[2011, 2012, 2013, 2014, 2015]","[2011, 2012, 2013, 2014, 2015]",[2014]
82,2,1,4,"[2012, 2013, 2014, 2015]",[2013],"[2013, 2015]"
83,0,1,1,[2015],[2015],[]
84,1,0,2,"[2012, 2015]",[],[2015]
85,7,9,9,"[2005, 2006, 2008, 2010, 2011, 2012, 2013, 2014, 2015]","[2005, 2006, 2008, 2010, 2011, 2012, 2013, 2014, 2015]","[2006, 2008, 2010, 2012, 2013, 2014, 2015]"
86,0,1,3,"[2013, 2014, 2015]",[2014],[]
87,0,0,1,[2015],[],[]
88,5,7,7,"[2009, 2010, 2011, 2012, 2013, 2014, 2015]","[2009, 2010, 2011, 2012, 2013, 2014, 2015]","[2010, 2011, 2012, 2013, 2015]"
89,1,3,5,"[2011, 2012, 2013, 2014, 2015]","[2013, 2014, 2015]",[2015]
90,0,1,4,"[2012, 2013, 2014, 2015]",[2012],[]
91,1,1,3,"[2013, 2014, 2015]",[2014],[2014]
92,0,0,1,[2015],[],[]
93,2,2,2,"[2014, 2015]","[2014, 2015]","[2014, 2015]"
94,2,2,2,"[2013, 2015]","[2013, 2015]","[2013, 2015]"
95,0,3,5,"[2011, 2012, 2013, 2014, 2015]","[2011, 2013, 2014]",[]
96,40,56,56,"[2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015]","[2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015]","[2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015]"
97,0,5,6,"[2010, 2011, 2012, 2013, 2014, 2015]","[2010, 2011, 2012, 2014, 2015]",[]
98,0,1,1,[2015],[2015],[]
99,0,0,1,[2015],[],[]
100,1,0,4,"[2011, 2013, 2014, 2015]",[],[2014]
101,0,1,2,"[2014, 2015]",[2014],[]
102,0,0,2,"[2012, 2015]",[],[]
103,0,0,1,[2015],[],[]
104,0,0,2,"[2013, 2015]",[],[]
105,0,0,1,[2015],[],[]
106,0,3,4,"[2012, 2013, 2014, 2015]","[2013, 2014, 2015]",[]
107,0,0,2,"[2012, 2015]",[],[]
108,0,1,1,[2015],[2015],[]
109,0,0,2,"[2014, 2015]",[],[]
110,0,0,2,"[2014, 2015]",[],[]
111,1,1,1,[2015],[2015],[2015]
112,0,1,1,[2015],[2015],[]
113,0,2,4,"[2012, 2013, 2014, 2015]","[2012, 2014]",[]
114,2,1,3,"[2013, 2014, 2015]",[2013],"[2013, 2014]"
115,0,0,2,"[2011, 2015]",[],[]
116,0,0,1,[2015],[],[]
117,0,5,8,"[2007, 2009, 2010, 2011, 2012, 2013, 2014, 2015]","[2007, 2009, 2010, 2011, 2013]",[]
118,1,0,1,[2015],[],[2015]
119,0,0,1,[2015],[],[]
120,0,1,1,[2015],[2015],[]
121,0,1,3,"[2012, 2014, 2015]",[2014],[]
122,0,1,1,[2015],[2015],[]
123,1,0,1,[2015],[],[2015]
124,0,0,1,[2015],[],[]
125,1,3,5,"[2011, 2012, 2013, 2014, 2015]","[2011, 2013, 2014]",[2011]
126,0,0,2,"[2014, 2015]",[],[]
127,1,1,2,"[2014, 2015]",[2015],[2015]
128,4,4,7,"[2007, 2008, 2009, 2011, 2012, 2013, 2015]","[2008, 2009, 2011, 2013]","[2008, 2011, 2013, 2015]"
