,Writer Name,Member Length,LifetimeWordCount,url,Age,Birthday,Favorite books or authors,Favorite noveling music,Hobbies,Location,Occupation,Primary Role,Sponsorship URL,Expected Final Word Count,Expected Daily Average,CURRENT WINNER,Current Donor,Wins,Donations,Participated,Consecutive Donor,Consecutive Wins,Consecutive Part,Part Years,Win Years,Donor Years,Num Novels,Expected Num Submissions,Expected Avg Submission,Expected Min Submission,Expected Min Day,Expected Max Submission,Expected Max Day,Expected Std Submissions,Expected Consec Subs,FW Total,FW Sub,FH Total,FH Sub,SH Total,SH Sub
0,Nicaless,2,50919,http://nanowrimo.org/participants/nicaless,24,December 20,"Ursula Le Guin, J.K.","Classical, Musicals","Reading, Video Games, Blogging, Learning","San Francisco, CA",Consultant,,,50919,1697.3,0,0,1,1,1,1,1,1,[2014],[2014],[2014],1,14,3637.07142857,299,2,24935,28,6235.71293283,12,6689,6,6689,6,6689,6
1,Rachel B. Moore,10,478090,http://nanowrimo.org/participants/rachel-b-moore,,,"2666, Unaccustomed Earth, Exit Music, Crazy Love, The Halfway House, Denis Johnson, Juan Carlos Onetti, Junot Diaz, Alberto Fuguet, Roberto Bolano, William Faulkner, Kate Atkinson, Jhumpa Lahiri, Ian Rankin, Henning Mankell, Alice Munro, David Long, Rabih Alameddine, Alejandro Zambra, Alan Hollinghurst, Stewart O'Nan, Jorge Luis Borges, Posession, Peter Orner, Elena Ferrante, Granta literary","Belle and Sebastian, Elliott Smith, PJ Harvey, Ana Tijoux, Orphans & Vandals, Sleater-Kinney, The Clash, Pinetop Seven, Typhoon, Mary Lou Lord and accordion-heavy tango music.","Reading, volunteering, knitting, listening to music, walking, going to shows, cooking.",San Francisco,Writer/Office Monkey,Municipal Liaison,,47809,1593.63333333,1,1,8,8,10,8,7,10,"[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014]","[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2014]","[2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014]",10,8.3,918.057453192,42.7,7.7,3809,9,1002.29516743,6.8,16722,7,16722,7,16722,7
2,abookishbabe,1,0,http://nanowrimo.org/participants/abookishbabe,,April 2,"Colleen Hoover, Veronica Roth, Jennifer Niven, Stephenie",Tori Kelley,"Reading (DUH), Day dreaming, Going to Disneyland, Drinking Starbucks... You know. The usual","Sacramento, CA",Optometry Assistant,,,,,0,1,0,0,0,0,0,0,[],[],[],,,,,,,,,,28632,1,28632,1,28632,1
3,alexabexis,11,475500,http://nanowrimo.org/participants/alexabexis,,,,"Three Goddesses playlist Florence + the Machine (MTV Unplugged), The Theory of Everything soundtrack, Marcus Warner (Liberation)","drawing, reading, movies & TV shows, comics, photography",New York City,,Municipal Liaison,https://www.classy.org/fundraise?fcid=498118,43227.2727273,1440.90909091,1,1,7,7,11,4,4,11,"[2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014]","[2004, 2005, 2008, 2011, 2012, 2013, 2014]","[2007, 2008, 2009, 2011, 2012, 2013, 2014]",11,9.27272727273,822.780595348,36,6.72727272727,2325,8.54545454545,570.626794798,8.09090909091,25360,7,25360,7,25360,7
4,AllYellowFlowers,3,30428,http://nanowrimo.org/participants/AllYellowFlowers,,,"Lolita, Jesus' Son, Ask the",the sound of the coffeemaker,cryptozoology,Allston,Bookstore Employee,,,15214,507.133333333,0,0,0,0,2,0,0,1,"[2012, 2014]",[],[],2,22,678.318082789,50,10.5,2054.5,4.5,538.273314744,21,1800,5,1800,5,1800,5
5,animalrza,3,62676,http://nanowrimo.org/participants/animalrza,,,,Miles Davis and the sort,"Photography, Writing, Yoga",San Francisco,,,,20892,696.4,0,0,0,0,3,0,0,3,"[2012, 2013, 2014]",[],[],3,3.33333333333,7570.8,0,1,19312.6666667,4,8837.22008744,0.666666666667,25455,1,25455,1,25455,1
6,Cafenuit,3,0,http://nanowrimo.org/participants/Cafenuit,,,"Jhumpa Lahiri, Amy Hempel, Anais Nin, CE Poverman, Italo Calvino, J.D Salinger, A Moveable Feast, The Elegance of the Hedgehog, If on a Winter's Night a Traveler, The God of Small Things, The Blindfold, The Paris","Charlie Parker, Bill Evans, Miles Davis","writing, cooking, improv, running, yoga",San Francisco,Leadership & Development,,,,,1,1,0,0,0,0,0,0,[],[],[],,,,,,,,,,15696,7,15696,7,15696,7
7,Carmelon,1,0,http://nanowrimo.org/participants/Carmelon,19,,,not sure yet,"drawing, painting, spoken word poetry, video games, cooking",Bay Area - California,,,,,,0,0,0,0,0,0,0,0,[],[],[],,,,,,,,,,7026,5,7026,5,7026,5
8,carozy,4,34530,http://nanowrimo.org/participants/carozy,,,"Radclyffe, John Scalzi, Q. Kelly, Louis",movie scores,"filmmaking, acting, reading, writing, biking",San Francisco,Office Manager,,,34530,1151,0,0,0,0,1,0,0,1,[2012],[],[],1,19,1817.36842105,0,1,4435,3,1185.82008978,16,2685,1,2685,1,2685,1
9,chrisk0,10,249331,http://nanowrimo.org/participants/chrisk0,,,"Isaac Asimov, Diane","Amanda Marshall, Great Big Sea, Dido",,Southern Ontario,,Municipal Liaison,,62332.75,2077.75833333,1,1,4,4,4,4,4,4,"[2011, 2012, 2013, 2014]","[2011, 2012, 2013, 2014]","[2011, 2012, 2013, 2014]",4,25.5,2498.31233466,574,19.5,5715.25,11.25,1169.5542858,24.5,13715,7,13715,7,13715,7
10,ComeOnAndWriteThisNovel,3,11055,http://nanowrimo.org/participants/ComeOnAndWriteThisNovel,41,,"See ""author bio"" for",silence,"Reading, Muay Thai, running, dancing, political activism, music, yoga, everything to do with India, films/TV, comedy, camping",San Francisco but I'm Australian,"Previously writer, editor. Now writer, researcher, life coach",,,11055,368.5,0,0,0,0,1,0,0,1,[2014],[],[],1,10,1105.5,181,6,2867,10,772.802335659,8,0,0,0,0,0,0
