"Writer Name","Novel Name","Genre","Final Word Count","Average Per Day","Winner","index","url"
"Nicaless","Novel: Lauren's Birthday","Genre: Young Adult","24229","807","","1","http://nanowrimo.org/participants/nicaless/novels/lauren-s-birthday/stats"
"Nicaless","Novel: A Mystery in the Kingdom of Aermon","Genre: Fantasy","50919","1,697","Winner!","2","http://nanowrimo.org/participants/nicaless/novels/a-mystery-in-the-kingdom-of-aermon/stats"
"Rachel B. Moore","Novel: Finding Fortunato","Genre: Literary","50603","1,686","Winner!","3","http://nanowrimo.org/participants/rachel-b-moore/novels/finding-fortunato/stats"
"Rachel B. Moore","Novel: The Residency","Genre: Literary","50425","1,680","Winner!","4","http://nanowrimo.org/participants/rachel-b-moore/novels/the-residency-579624/stats"
"Rachel B. Moore","Novel: The Jew From Fortunato","Genre: Literary Fiction","41447","1,381","","5","http://nanowrimo.org/participants/rachel-b-moore/novels/the-jew-from-fortunato/stats"
"Rachel B. Moore","Novel: Perdido","Genre: Literary Fiction","33083","1,102","","6","http://nanowrimo.org/participants/rachel-b-moore/novels/perdido/stats"
"Rachel B. Moore","Novel: Skipping Rocks at Naskeag","Genre: Literary Fiction","50419","1,680","Winner!","7","http://nanowrimo.org/participants/rachel-b-moore/novels/skipping-rocks-at-naskeag/stats"
"Rachel B. Moore","Novel: Untitled (Well, I am sure it had a title at the time, but...","Genre: Literary Fiction","50453","1,681","Winner!","8","http://nanowrimo.org/participants/rachel-b-moore/novels/untitled-well-i-am-sure-it-had-a-title-at-the-time-but-i-can-t-remember-it/stats"
"Rachel B. Moore","Novel: Ventajas/Ventanas","Genre: Literary Fiction","50400","1,680","Winner!","9","http://nanowrimo.org/participants/rachel-b-moore/novels/ventajas-ventanas/stats"
"Rachel B. Moore","Novel: Untitled (Andre Levinsky Backstory)","Genre: Literary Fiction","50704","1,690","Winner!","10","http://nanowrimo.org/participants/rachel-b-moore/novels/untitled-andre-levinsky-backstory/stats"
"Rachel B. Moore","Novel: The Brothers Bolano","Genre: Literary","50200","1,673","Winner!","11","http://nanowrimo.org/participants/rachel-b-moore/novels/the-brothers-bolano/stats"
"Rachel B. Moore","Novel: John Brown's Body (I think!)","Genre: Literary","50320","1,677","Winner!","12","http://nanowrimo.org/participants/rachel-b-moore/novels/john-brown-s-body-i-think/stats"
"Rachel B. Moore","Novel: Neil In The World","Genre: Literary","50639","1,687","Winner!","13","http://nanowrimo.org/participants/rachel-b-moore/novels/neil-in-the-world/stats"
"abookishbabe","Novel: Don't Define Me","Genre: Young Adult","29299","976","","14","http://nanowrimo.org/participants/abookishbabe/novels/don-t-define-me/stats"
"alexabexis","Novel: Venus: Avatars of Olympus #1","Genre: Romance","78800","2,626","Winner!","15","http://nanowrimo.org/participants/alexabexis/novels/venus-avatars-of-olympus-1/stats"
"alexabexis","Novel: Wolf Demons: A Point Five Novel","Genre: Horror/Supernatural","53000","1,766","Winner!","16","http://nanowrimo.org/participants/alexabexis/novels/wolf-demons-a-point-five-novel/stats"
"alexabexis","Novel: The Duke's Landscapes","Genre: Romance","51255","1,708","Winner!","17","http://nanowrimo.org/participants/alexabexis/novels/the-duke-s-landscapes/stats"
"alexabexis","Novel: Once Upon a Dream","Genre: Fantasy","57357","1,911","Winner!","18","http://nanowrimo.org/participants/alexabexis/novels/once-upon-a-dream-214455/stats"
"alexabexis","Novel: Mercy (rewrite)","Genre: Horror & Supernatural","50083","1,669","Winner!","19","http://nanowrimo.org/participants/alexabexis/novels/mercy-rewrite/stats"
"alexabexis","Novel: The Ghost of Pier 49","Genre: Horror & Supernatural","13000","433","","20","http://nanowrimo.org/participants/alexabexis/novels/the-ghost-of-pier-49/stats"
"alexabexis","Novel: PD","Genre: Fantasy","16805","560","","21","http://nanowrimo.org/participants/alexabexis/novels/pd-598245/stats"
"alexabexis","Novel: Point Five","Genre: Horror & Supernatural","51000","1,700","Winner!","22","http://nanowrimo.org/participants/alexabexis/novels/point-five/stats"
"alexabexis","Novel: Diana","Genre: Horror/Supernatural","48000","1,600","","23","http://nanowrimo.org/participants/alexabexis/novels/diana/stats"
"alexabexis","Novel: Spirited","Genre: Fantasy","35000","1,166","","24","http://nanowrimo.org/participants/alexabexis/novels/spirited-598232/stats"
"alexabexis","Novel: Souperheroes","Genre: Adventure","50000","1,666","Winner!","25","http://nanowrimo.org/participants/alexabexis/novels/souperheroes/stats"
"alexabexis","Novel: Mercy","Genre: Horror/Supernatural","50000","1,666","Winner!","26","http://nanowrimo.org/participants/alexabexis/novels/mercy-598220/stats"
