"Novel Name.href","Novel Name.text","Novel Date","index","url"
"http://nanowrimo.org/participants/nicaless/novels/lauren-s-birthday","Lauren's Birthday","November 2015","1","http://nanowrimo.org/participants/nicaless/novels"
"http://nanowrimo.org/participants/nicaless/novels/a-mystery-in-the-kingdom-of-aermon","A Mystery in the Kingdom of Aermon","November 2014","2","http://nanowrimo.org/participants/nicaless/novels"
"http://nanowrimo.org/participants/r./achel-b-moore/novels/finding-fortunato","Finding Fortunato","November 2015","3","http://nanowrimo.org/participants/rachel-b-moore/novels"
"http://nanowrimo.org/participants/rachel-b-moore/novels/the-residency-579624","The Residency","November 2014","4","http://nanowrimo.org/participants/rachel-b-moore/novels"
"http://nanowrimo.org/participants/rachel-b-moore/novels/the-jew-from-fortunato","The Jew From Fortunato","November 2013","5","http://nanowrimo.org/participants/rachel-b-moore/novels"
"http://nanowrimo.org/participants/rachel-b-moore/novels/perdido","Perdido","November 2012","6","http://nanowrimo.org/participants/rachel-b-moore/novels"
"http://nanowrimo.org/participants/rachel-b-moore/novels/skipping-rocks-at-naskeag","Skipping Rocks at Naskeag","November 2011","7","http://nanowrimo.org/participants/rachel-b-moore/novels"
"http://nanowrimo.org/participants/rachel-b-moore/novels/untitled-well-i-am-sure-it-had-a-title-at-the-time-but-i-can-t-remember-it","Untitled (Well, I am sure it had a title at the time, but I can't remember it)","November 2010","8","http://nanowrimo.org/participants/rachel-b-moore/novels"
"http://nanowrimo.org/participants/rachel-b-moore/novels/ventajas-ventanas","Ventajas/Ventanas","November 2009","9","http://nanowrimo.org/participants/rachel-b-moore/novels"
"http://nanowrimo.org/participants/rachel-b-moore/novels/untitled-andre-levinsky-backstory","Untitled (Andre Levinsky Backstory)","November 2008","10","http://nanowrimo.org/participants/rachel-b-moore/novels"
"http://nanowrimo.org/participants/rachel-b-moore/novels/the-brothers-bolano","The Brothers Bolano","November 2007","11","http://nanowrimo.org/participants/rachel-b-moore/novels"
"http://nanowrimo.org/participants/rachel-b-moore/novels/john-brown-s-body-i-think","John Brown's Body (I think!)","November 2006","12","http://nanowrimo.org/participants/rachel-b-moore/novels"
"http://nanowrimo.org/participants/rachel-b-moore/novels/neil-in-the-world","Neil In The World","November 2005","13","http://nanowrimo.org/participants/rachel-b-moore/novels"
"http://nanowrimo.org/participants/abookishbabe/novels/don-t-define-me","Don't Define Me","November 2015","14","http://nanowrimo.org/participants/abookishbabe/novels"
"http://nanowrimo.org/participants/alexabexis/novels/venus-avatars-of-olympus-1","Venus: Avatars of Olympus #1","November 2015","15","http://nanowrimo.org/participants/alexabexis/novels"
"http://nanowrimo.org/participants/alexabexis/novels/wolf-demons-a-point-five-novel","Wolf Demons: A Point Five Novel","November 2014","16","http://nanowrimo.org/participants/alexabexis/novels"
"http://nanowrimo.org/participants/alexabexis/novels/the-duke-s-landscapes","The Duke's Landscapes","November 2013","17","http://nanowrimo.org/participants/alexabexis/novels"
"http://nanowrimo.org/participants/alexabexis/novels/once-upon-a-dream-214455","Once Upon a Dream","November 2012","18","http://nanowrimo.org/participants/alexabexis/novels"
"http://nanowrimo.org/participants/alexabexis/novels/mercy-rewrite","Mercy (rewrite)","November 2011","19","http://nanowrimo.org/participants/alexabexis/novels"
"http://nanowrimo.org/participants/alexabexis/novels/the-ghost-of-pier-49","The Ghost of Pier 49","November 2010","20","http://nanowrimo.org/participants/alexabexis/novels"
"http://nanowrimo.org/participants/alexabexis/novels/pd-598245","PD","November 2009","21","http://nanowrimo.org/participants/alexabexis/novels"
"http://nanowrimo.org/participants/alexabexis/novels/point-five","Point Five","November 2008","22","http://nanowrimo.org/participants/alexabexis/novels"
"http://nanowrimo.org/participants/alexabexis/novels/diana","Diana","November 2007","23","http://nanowrimo.org/participants/alexabexis/novels"
"http://nanowrimo.org/participants/alexabexis/novels/spirited-598232","Spirited","November 2006","24","http://nanowrimo.org/participants/alexabexis/novels"
"http://nanowrimo.org/participants/alexabexis/novels/souperheroes","Souperheroes","November 2005","25","http://nanowrimo.org/participants/alexabexis/novels"
"http://nanowrimo.org/participants/alexabexis/novels/mercy-598220","Mercy","November 2004","26","http://nanowrimo.org/participants/alexabexis/novels"
"http://nanowrimo.org/participants/allyellowflowers/novels/untitled-vigilantes-rewrite","Untitled (Vigilantes rewrite)","November 2015","27","http://nanowrimo.org/participants/AllYellowFlowers/novels"
"http://nanowrimo.org/participants/allyellowflowers/novels/vigilantes-586401","Vigilantes","November 2014","28","http://nanowrimo.org/participants/AllYellowFlowers/novels"
