,Novel Name,Novel Date,Novel Url,Writer Url,Num Submissions,Avg Submission,Min Submission,Min Day,Max Submission,Max Day,Standard Deviation
0,Lauren's Birthday,November 2015,http://nanowrimo.org/participants/nicaless/novels/lauren-s-birthday,http://nanowrimo.org/participants/nicaless/novels,12,2019.08333333,296,4,10699,29,2787.59901045
1,A Mystery in the Kingdom of Aermon,November 2014,http://nanowrimo.org/participants/nicaless/novels/a-mystery-in-the-kingdom-of-aermon,http://nanowrimo.org/participants/nicaless/novels,14,3637.07142857,299,2,24935,28,6235.71293283
2,Finding Fortunato,November 2015,http://nanowrimo.org/participants/r./achel-b-moore/novels/finding-fortunato,http://nanowrimo.org/participants/rachel-b-moore/novels,28,1807.25,148,27,5885,1,1515.17098575
3,The Residency,November 2014,http://nanowrimo.org/participants/rachel-b-moore/novels/the-residency-579624,http://nanowrimo.org/participants/rachel-b-moore/novels,21,2401.19047619,83,29,6265,22,1777.6167196
4,The Jew From Fortunato,November 2013,http://nanowrimo.org/participants/rachel-b-moore/novels/the-jew-from-fortunato,http://nanowrimo.org/participants/rachel-b-moore/novels,20,2072.35,68,3,8079,23,2198.93170142
5,Perdido,November 2012,http://nanowrimo.org/participants/rachel-b-moore/novels/perdido,http://nanowrimo.org/participants/rachel-b-moore/novels,19,1741.21052632,133,12,5453,10,1788.28820175
6,Skipping Rocks at Naskeag,November 2011,http://nanowrimo.org/participants/rachel-b-moore/novels/skipping-rocks-at-naskeag,http://nanowrimo.org/participants/rachel-b-moore/novels,17,2965.82352941,143,27,18293,29,4258.11505157
7,"Untitled (Well, I am sure it had a title at the time, but I can't remember it)",November 2010,http://nanowrimo.org/participants/rachel-b-moore/novels/untitled-well-i-am-sure-it-had-a-title-at-the-time-but-i-can-t-remember-it,http://nanowrimo.org/participants/rachel-b-moore/novels,1,0.0,0,1,0,1,0.0
8,Ventajas/Ventanas,November 2009,http://nanowrimo.org/participants/rachel-b-moore/novels/ventajas-ventanas,http://nanowrimo.org/participants/rachel-b-moore/novels,1,0.0,0,1,0,1,0.0
9,Untitled (Andre Levinsky Backstory),November 2008,http://nanowrimo.org/participants/rachel-b-moore/novels/untitled-andre-levinsky-backstory,http://nanowrimo.org/participants/rachel-b-moore/novels,1,0.0,0,1,0,1,0.0
10,The Brothers Bolano,November 2007,http://nanowrimo.org/participants/rachel-b-moore/novels/the-brothers-bolano,http://nanowrimo.org/participants/rachel-b-moore/novels,1,0.0,0,1,0,1,0.0
