"Fact Sheet","index","url"
"Fact Sheet","3400","http://nanowrimo.org/participants/nicaless"
"Age: 24 Birthday: December 20 Location: San Francisco, CA Hobbies: Reading, Video Games, Blogging, Learning Favorite noveling music: Classical, Musicals Website: http://nicaless.wordpress.com Occupation: Consultant Favorite books or authors: Ursula Le Guin, J.K. Rowling","3401","http://nanowrimo.org/participants/nicaless"
"Fact Sheet","3402","http://nanowrimo.org/participants/rachel-b-moore"
"Primary Role: Municipal Liaison Location: San Francisco Hobbies: Reading, volunteering, knitting, listening to music, walking, going to shows, cooking. Favorite noveling music: Belle and Sebastian, Elliott Smith, PJ Harvey, Ana Tijoux, Orphans & Vandals, Sleater-Kinney, The Clash, Pinetop Seven, Typhoon, Mary Lou Lord and accordion-heavy tango music. Website: http://www.fogcitynotes.blogspot.com Occupation: Writer/Office Monkey Favorite books or authors: 2666, Unaccustomed Earth, Exit Music, Crazy Love, The Halfway House, Denis Johnson, Juan Carlos Onetti, Junot Diaz, Alberto Fuguet, Roberto Bolano, William Faulkner, Kate Atkinson, Jhumpa Lahiri, Ian Rankin, Henning Mankell, Alice Munro, David Long, Rabih Alameddine, Alejandro Zambra, Alan Hollinghurst, Stewart O'Nan, Jorge Luis Borges, Posession, Peter Orner, Elena Ferrante, Granta literary magazine","3403","http://nanowrimo.org/participants/rachel-b-moore"
"Fact Sheet","3404","http://nanowrimo.org/participants/abookishbabe"
"Birthday: April 2 Location: Sacramento, CA Hobbies: Reading (DUH), Day dreaming, Going to Disneyland, Drinking Starbucks... You know. The usual Favorite noveling music: Tori Kelley Website: http://hashtagavenue.com Occupation: Optometry Assistant Favorite books or authors: Colleen Hoover, Veronica Roth, Jennifer Niven, Stephenie Meyer","3405","http://nanowrimo.org/participants/abookishbabe"
"Fact Sheet","3406","http://nanowrimo.org/participants/alexabexis"
"Primary Role: Municipal Liaison Location: New York City Hobbies: drawing, reading, movies & TV shows, comics, photography Favorite noveling music: Three Goddesses playlist Florence + the Machine (MTV Unplugged), The Theory of Everything soundtrack, Marcus Warner (Liberation) Website: http://www.alexisdaria.com Sponsorship URL: https://www.classy.org/fundraise?fcid=498118 Occupation: Tutor","3407","http://nanowrimo.org/participants/alexabexis"
"Fact Sheet","3408","http://nanowrimo.org/participants/AllYellowFlowers"
"Location: Allston Hobbies: cryptozoology Favorite noveling music: the sound of the coffeemaker Website: Occupation: Bookstore Employee Favorite books or authors: Lolita, Jesus' Son, Ask the Dust","3409","http://nanowrimo.org/participants/AllYellowFlowers"
"Fact Sheet","3410","http://nanowrimo.org/participants/animalrza"
"Location: San Francisco Hobbies: Photography, Writing, Yoga Favorite noveling music: Miles Davis and the sort Website: http://www.fb.com/animalrza Occupation: Photographer","3411","http://nanowrimo.org/participants/animalrza"
"Fact Sheet","3412","http://nanowrimo.org/participants/Cafenuit"
"Location: San Francisco Hobbies: writing, cooking, improv, running, yoga Favorite noveling music: Charlie Parker, Bill Evans, Miles Davis Website: Occupation: Leadership & Development Favorite books or authors: Jhumpa Lahiri, Amy Hempel, Anais Nin, CE Poverman, Italo Calvino, J.D Salinger, A Moveable Feast, The Elegance of the Hedgehog, If on a Winter's Night a Traveler, The God of Small Things, The Blindfold, The Paris Wife","3413","http://nanowrimo.org/participants/Cafenuit"
"Fact Sheet","3414","http://nanowrimo.org/participants/Carmelon"
"Age: 19 Location: Bay Area - California Hobbies: drawing, painting, spoken word poetry, video games, cooking Favorite noveling music: not sure yet Website: https://www.etsy.com/shop/CarmelonsCreations?ref=hdr_shop_menu Favorite books or authors: Tolkien","3415","http://nanowrimo.org/participants/Carmelon"
"Fact Sheet","3416","http://nanowrimo.org/participants/carozy"
"Location: San Francisco Hobbies: filmmaking, acting, reading, writing, biking Favorite noveling music: movie scores Website: http://carozy.hubpages.com Occupation: Office Manager Favorite books or authors: Radclyffe, John Scalzi, Q. Kelly, Louis L'Amour","3417","http://nanowrimo.org/participants/carozy"
"Fact Sheet","3418","http://nanowrimo.org/participants/chrisk0"
"Primary Role: Municipal Liaison Location: Southern Ontario Favorite noveling music: Amanda Marshall, Great Big Sea, Dido Website: http://www.stringingwords.com Favorite books or authors: Isaac Asimov, Diane Duane","3419","http://nanowrimo.org/participants/chrisk0"
"Fact Sheet","3420","http://nanowrimo.org/participants/ComeOnAndWriteThisNovel"
